tiempo[ms]V_Panel[V]	I_Panel[A]	R_Carga[Ohms]	P_Panel[W]	G[W/m2]	T[°C]	Load[%]							
load=95.0													
113438	42.6		9.9		4.3		422.9		800		25.0		95.0
load=95.0													
113949	42.2		9.9		4.3		417.7		800		25.0		95.0
load=95.0													
114460	42.1		9.9		4.2		416.2		800		25.0		95.0
load=95.0													
114971	42.3		9.9		4.3		419.7		800		25.0		95.0
load=95.0													
115482	41.5		9.9		4.2		410.4		800		25.0		95.0
load=95.0													
115993	41.9		9.9		4.2		415.1		800		25.0		95.0
load=95.0													
116504	42.3		9.9		4.3		419.6		800		25.0		95.0
load=95.0													
117015	42.3		9.9		4.3		418.8		800		25.0		95.0
load=95.0													
117526	42.2		9.9		4.3		418.0		800		25.0		95.0
load=95.0													
118037	41.8		9.9		4.2		413.3		800		25.0		95.0
load=95.0													
118548	41.9		9.9		4.2		414.7		800		25.0		95.0
load=95.0													
119059	41.3		9.9		4.2		409.9		800		25.0		95.0
load=95.0													
119570	42.2		9.9		4.3		418.3		800		25.0		95.0
load=95.0													
120081	42.5		9.9		4.3		420.9		800		25.0		95.0
load=95.0													
120592	42.5		9.9		4.3		419.9		800		25.0		95.0
load=95.0													
121103	42.3		9.9		4.3		419.4		799		25.0		95.0
load=95.0													
121614	41.6		9.7		4.3		405.1		787		25.0		95.0
load=92.0													
122125	42.3		9.6		4.4		404.8		772		25.0		92.0
load=89.5													
122636	42.6		9.4		4.5		401.1		758		25.0		89.5
load=92.5													
123147	41.9		9.2		4.6		384.7		743		25.0		92.5
load=89.5													
123658	42.8		9.0		4.8		385.2		728		25.0		89.5
load=86.5													
124169	42.6		8.8		4.8		376.4		713		25.0		86.5
load=83.5													
124680	42.9		8.6		5.0		370.8		698		25.0		83.5
load=86.5													
125191	41.8		8.4		4.9		352.4		684		25.0		86.5
load=83.5													
125702	42.3		8.3		5.1		351.2		669		25.0		83.5
load=80.5													
126213	42.8		8.1		5.3		345.7		654		25.0		80.5
load=83.5													
126724	42.2		7.9		5.3		333.9		639		25.0		83.5
load=86.5													
127235	42.2		7.7		5.5		326.1		625		25.0		86.5
load=84.0													
127746	43.2		7.6		5.7		326.8		610		25.0		84.0
load=87.0													
128257	41.9		7.4		5.7		308.8		595		25.0		87.0
load=90.0													
128768	42.2		7.2		5.9		302.3		580		25.0		90.0
load=93.0													
129279	42.1		7.0		6.0		293.9		565		25.0		93.0
load=95.0													
129790	41.8		6.8		6.1		285.4		551		25.0		95.0
load=95.0													
130301	42.1		6.6		6.3		279.1		536		25.0		95.0
load=92.0													
130812	42.2		6.5		6.5		272.4		521		25.0		92.0
load=89.0													
131323	42.5		6.3		6.8		266.8		506		25.0		89.0
load=92.0													
131834	41.5		6.1		6.8		252.4		492		25.0		92.0
load=89.0													
132345	42.1		5.9		7.1		248.6		477		25.0		89.0
load=86.0													
132856	42.6		5.8		7.4		245.0		462		25.0		86.0
load=83.0													
133367	42.2		5.5		7.6		233.4		447		25.0		83.0
load=80.0													
133878	42.3		5.3		8.0		225.5		432		25.0		80.0
load=83.0													
134389	41.5		5.2		8.0		214.8		418		25.0		83.0
load=82.1													
134900	43.8		5.1		8.7		221.8		408		25.0		82.1
load=85.1													
135411	42.2		5.0		8.4		212.1		406		25.0		85.1
load=83.2													
135922	43.1		5.0		8.6		215.5		403		25.0		83.2
load=86.2													
136433	42.2		5.0		8.5		209.0		400		25.0		86.2
load=84.8													
136944	42.9		5.0		8.6		213.2		400		25.0		84.8
load=87.8													
137455	42.5		4.9		8.6		210.3		400		25.0		87.8
load=85.9													
137966	42.8		5.0		8.6		211.9		400		25.0		85.9
load=85.5													
138477	42.9		5.0		8.7		212.9		400		25.0		85.5
load=86.5													
138988	42.5		5.0		8.5		211.7		400		25.0		86.5
load=87.4													
139499	42.2		5.0		8.5		209.3		400		25.0		87.4
load=89.9													
140010	42.5		5.0		8.6		210.7		400		25.0		89.9
load=90.5													
140521	41.5		5.0		8.3		206.0		400		25.0		90.5
load=91.8													
141032	42.1		5.0		8.5		208.3		400		25.0		91.8
load=92.5													
141543	42.6		5.0		8.6		212.1		400		25.0		92.5
load=91.8													
142054	42.3		5.0		8.6		209.7		400		25.0		91.8
load=92.2													
142565	42.5		5.0		8.6		210.7		400		25.0		92.2
load=93.1													
143076	42.2		5.0		8.5		209.0		400		25.0		93.1
load=93.9													
143587	41.6		4.9		8.4		205.5		400		25.0		93.9
load=94.4													
144098	42.8		4.9		8.7		211.6		400		25.0		94.4
